"Function","Random_effect","Actinobacteriota_slope","Bacteroidota_slope","Firmicutes_slope","Proteobacteria_slope","Actinobacteriota_pred_70","Actinobacteriota_pred_80","Actinobacteriota_pred_90","Actinobacteriota_pred_100","Bacteroidota_pred_70","Bacteroidota_pred_80","Bacteroidota_pred_90","Bacteroidota_pred_100","Firmicutes_pred_70","Firmicutes_pred_80","Firmicutes_pred_90","Firmicutes_pred_100","Proteobacteria_pred_70","Proteobacteria_pred_80","Proteobacteria_pred_90","Proteobacteria_pred_100","R2_m","R2_c","pvalue","pvalue_int"
"M00034","Random_slope",0.0322555506084222,0.0200108218664895,0.0204429265639067,0.038674306906454,0.118725816500156,0.156831277913743,0.204331167467657,0.261751384498054,0.148364612881652,0.175465372645136,0.206317182149845,0.241008022677998,0.2217187765897,0.258985358272092,0.300100446273009,0.344706403241967,0.173323422928014,0.235860267803938,0.312433253125623,0.40082591267275,0.0133145514118834,0.0184703742400255,5.62013414221295e-07,0.322293046239595
"M00035","Random_intercept",0.0153824080111378,0.0153205435688155,0.0186367243831724,0.0196649811914419,0.363585397551447,0.399868762549475,0.437285060584796,0.475428858056338,0.355736749661855,0.391571567462908,0.428614657892194,0.466475344059836,0.292831156729784,0.332853763077524,0.375442333154974,0.420049172888562,0.313141103252197,0.356904460084595,0.403193737234551,0.451273749154013,0.00762823906699748,0.00980660419558719,3.46538294935042e-08,0.986176415379071
"M00036","Random_slope",0.014860886698549,0.0309121813212991,0.0242017961904575,0.0147847495809829,0.211342977033971,0.237173194090034,0.265099186745609,0.295041558615331,0.185955073065515,0.237327323781067,0.297701581898077,0.366062794608143,0.124190320758104,0.152993152890858,0.187049391389993,0.226657898795924,0.169113364830002,0.190914860144642,0.214800339592062,0.240784816297698,0.0208656634448358,0.0573127281085923,0.00387807470004492,0.716311047665283
"M00038","Random_slope",-0.00538341867046173,-0.0562961935055903,0.00628625078189513,0.0202447536213774,0.0347425373942116,0.0329817096384875,0.031307229982347,0.0297151512290367,0.0312054979489864,0.0180141355304754,0.0103395854557141,0.00591492468852198,0.0282869581796546,0.0300670466685116,0.0319554716412919,0.0339583506332659,0.0212935560238654,0.0259477583595969,0.0315864134954945,0.038402084903464,0.0093289298162139,0.0207157039481095,0.836903668651119,0.217313233586384
"M00039","Random_intercept",-0.0087456416313508,0.0139295054719772,0.00398844195848827,-0.01024209699746,0.0191006585300777,0.0175291846949284,0.01608488105246,0.0147577921486012,0.0721606583964341,0.0820609643319923,0.0931831587606934,0.105639325481102,0.051105623488254,0.0530747663905139,0.0551153750585938,0.0572296989327634,0.0156649892636124,0.0141615908177474,0.0128006000309583,0.011568871496137,0.0139672346090601,0.0153150366036617,0.270781295234947,0.788715981589903
"M00045","Random_slope",0.0273039944402514,0.0211570043633759,-0.0157251901881003,0.0392863022111098,0.0562200988067617,0.0725893178674707,0.0932537160629906,0.119045644569743,0.539457657162586,0.591393623843101,0.641366385370472,0.688447162574657,0.102004181700649,0.0884746363502792,0.076586563859786,0.0661798819575903,0.0940713717895564,0.13330542236811,0.185551199589909,0.252312315130656,0.192214098293678,0.298777670951529,0.772743622701213,0.00220002040774639
"M00046","Random_intercept",0.110466408160617,0.243535294060547,0.0152565989455866,0.0798760238314568,0.00269002034357211,0.00807520693009732,0.0239818306598886,0.06904061908872,8.23541959776388e-06,9.40391747178692e-05,0.00107286186180805,0.0121164692423742,0.0454828058158702,0.0525850502292506,0.0607257705049364,0.0700336000982028,0.0208501081967664,0.0451930714662751,0.0951938723325159,0.189533397467403,0.086969668751126,0.0958069461174807,0.00870045399100541,0.0713359906922405
"M00048","Random_slope",0.148733123689961,0.13969431960194,0.0912328372050639,0.050775619714151,0.382565779834101,0.732757692488943,0.923860264126967,0.981716827201731,0.43796978692448,0.75906084680784,0.927201847810061,0.98094943040457,0.440718393273966,0.662416441727944,0.830110378403199,0.924053309339226,0.423391716282485,0.549559446511381,0.669659854582667,0.771077123064851,0.125003629092229,0.177690902227136,5.34123329904532e-07,2.76847329672735e-11
"M00049","Random_slope",0.0978906987700183,0.109521138679376,0.0835534662983626,0.0503073611184428,0.560455253504041,0.77240070694121,0.900323469147649,0.960064347709099,0.546669063392765,0.782863574248485,0.9151065827061,0.969905475491882,0.551940992931271,0.739630867734288,0.867563512753266,0.937912978441296,0.523852014569576,0.645325446851816,0.750564973067271,0.832674440235172,0.0988747986706739,0.12515434544545,7.04065493817135e-18,0.0155796041472715
"M00050","Random_slope",0.133723318581961,0.127455272615589,0.0874431236036622,0.0661023632637355,0.550053821017742,0.823191457699281,0.946614589260884,0.985408077340066,0.555352881895565,0.817108003609949,0.941112188019589,0.98280819122538,0.524797872592624,0.725857202437824,0.863908030216733,0.93834519040645,0.466478494749975,0.628721554981246,0.76634016786754,0.863984201430955,0.139996931612887,0.198176878170914,3.03453373540543e-10,0.00810302052881427
